dateTime,timestamp,status,latitude,latitudeDirection,longitude,longitudeDirection,speedOverGround,trueCourse,dateStamp,magVariation,magVariationDirection
2019-04-30 22:20:02.047445,22:20:04,A,3259.52922,N,09645.46957,W,0.312,,2019-04-30,,
2019-04-30 22:20:05.049751,22:20:07,A,3259.52930,N,09645.46964,W,0.033,,2019-04-30,,
2019-04-30 22:20:08.048082,22:20:10,A,3259.52938,N,09645.46970,W,0.029,,2019-04-30,,
2019-04-30 22:20:11.048950,22:20:13,A,3259.52937,N,09645.46974,W,0.188,,2019-04-30,,
2019-04-30 22:20:16.047093,22:20:18,A,3259.52958,N,09645.46982,W,0.093,,2019-04-30,,
2019-04-30 22:20:19.048593,22:20:21,A,3259.52958,N,09645.46983,W,0.219,,2019-04-30,,
2019-04-30 22:20:22.047198,22:20:24,A,3259.52943,N,09645.46976,W,0.088,,2019-04-30,,
2019-04-30 22:20:25.049365,22:20:27,A,3259.52946,N,09645.46975,W,0.15,,2019-04-30,,
2019-04-30 22:20:28.047695,22:20:30,A,3259.52950,N,09645.46973,W,0.068,,2019-04-30,,
2019-04-30 22:20:31.050823,22:20:33,A,3259.52942,N,09645.46959,W,0.09,,2019-04-30,,
2019-04-30 22:20:34.048396,22:20:36,A,3259.52933,N,09645.46943,W,0.19,,2019-04-30,,
2019-04-30 22:20:37.048819,22:20:39,A,3259.52929,N,09645.46929,W,0.06,,2019-04-30,,
2019-04-30 22:20:40.048438,22:20:42,A,3259.52938,N,09645.46920,W,0.223,,2019-04-30,,
2019-04-30 22:20:43.048925,22:20:45,A,3259.52931,N,09645.46925,W,0.177,,2019-04-30,,
2019-04-30 22:20:46.047003,22:20:48,A,3259.52932,N,09645.46929,W,0.444,,2019-04-30,,
2019-04-30 22:20:51.049671,22:20:53,A,3259.52943,N,09645.46943,W,0.159,,2019-04-30,,
2019-04-30 22:20:54.047232,22:20:56,A,3259.52949,N,09645.46949,W,0.11,,2019-04-30,,
2019-04-30 22:20:57.048078,22:20:59,A,3259.52933,N,09645.46936,W,0.166,,2019-04-30,,
2019-04-30 22:21:00.049756,22:21:02,A,3259.52925,N,09645.46924,W,0.182,,2019-04-30,,
2019-04-30 22:21:03.048454,22:21:05,A,3259.52896,N,09645.46918,W,0.345,,2019-04-30,,
2019-04-30 22:21:06.047002,22:21:08,A,3259.52876,N,09645.46919,W,0.07,,2019-04-30,,
2019-04-30 22:21:09.045933,22:21:09,A,3259.52847,N,09645.46903,W,0.318,,2019-04-30,,
2019-04-30 22:21:16.046857,22:21:16,A,3259.52797,N,09645.46880,W,0.228,,2019-04-30,,
2019-04-30 22:21:19.046965,22:21:19,A,3259.52779,N,09645.46874,W,0.281,,2019-04-30,,
2019-04-30 22:21:22.047534,22:21:22,A,3259.52785,N,09645.46884,W,0.138,,2019-04-30,,
2019-04-30 22:21:25.047264,22:21:25,A,3259.52801,N,09645.46896,W,0.118,,2019-04-30,,
2019-04-30 22:21:28.047533,22:21:28,A,3259.52829,N,09645.46924,W,0.078,,2019-04-30,,
2019-04-30 22:21:31.048744,22:21:31,A,3259.52853,N,09645.46960,W,0.156,,2019-04-30,,
2019-04-30 22:23:30.049885,22:23:30,A,3259.52808,N,09645.47041,W,0.072,,2019-04-30,,
2019-04-30 22:23:33.050142,22:23:33,A,3259.52814,N,09645.47039,W,0.278,,2019-04-30,,
2019-04-30 22:23:36.051342,22:23:36,A,3259.52799,N,09645.47039,W,0.189,,2019-04-30,,
2019-04-30 22:23:39.048877,22:23:39,A,3259.52810,N,09645.47042,W,0.431,,2019-04-30,,
2019-04-30 22:23:42.050208,22:23:42,A,3259.52834,N,09645.47039,W,0.209,,2019-04-30,,
