dateTime,timestamp,latitude,latitudeDirection,longitude,longitudeDirection,gpsQuality,numberOfSatellites,HorizontalDilution,altitude,altitudeUnits,undulation,undulationUnits,age,stationID
2019-04-30 22:17:02.064931,22:17:04,3259.52662,N,09645.47218,W,1,04,3.04,219.5,M,-25.3,M,,
2019-04-30 22:17:05.058180,22:17:07,3259.52716,N,09645.47225,W,1,04,3.05,220.9,M,-25.3,M,,
2019-04-30 22:17:08.055100,22:17:10,3259.52806,N,09645.47278,W,1,04,3.05,222.0,M,-25.3,M,,
2019-04-30 22:17:11.058977,22:17:13,3259.52877,N,09645.47313,W,1,04,3.06,222.6,M,-25.3,M,,
2019-04-30 22:17:14.050419,22:17:16,3259.52931,N,09645.47333,W,1,04,3.06,223.8,M,-25.3,M,,
2019-04-30 22:17:17.051995,22:17:19,3259.52965,N,09645.47344,W,1,04,3.06,224.7,M,-25.3,M,,
2019-04-30 22:17:20.051995,22:17:22,3259.52943,N,09645.47321,W,1,04,3.07,224.7,M,-25.3,M,,
2019-04-30 22:17:23.050054,22:17:25,3259.52919,N,09645.47300,W,1,04,3.07,224.2,M,-25.3,M,,
2019-04-30 22:17:25.052341,22:17:27,3259.52918,N,09645.47284,W,1,04,3.07,223.5,M,-25.3,M,,
2019-04-30 22:17:28.050304,22:17:30,3259.52907,N,09645.47254,W,1,04,3.08,223.2,M,-25.3,M,,
2019-04-30 22:17:31.061276,22:17:33,3259.52953,N,09645.47254,W,1,06,2.25,223.3,M,-25.3,M,,
2019-04-30 22:17:34.052994,22:17:36,3259.52971,N,09645.47232,W,1,06,2.26,223.3,M,-25.3,M,,
2019-04-30 22:17:36.054749,22:17:38,3259.52969,N,09645.47222,W,1,06,2.26,223.2,M,-25.3,M,,
2019-04-30 22:17:39.057922,22:17:41,3259.52980,N,09645.47210,W,1,06,2.26,222.8,M,-25.3,M,,
2019-04-30 22:17:42.055489,22:17:44,3259.52979,N,09645.47186,W,1,06,2.26,222.6,M,-25.3,M,,
2019-04-30 22:17:45.055465,22:17:47,3259.52963,N,09645.47165,W,1,06,2.26,222.3,M,-25.3,M,,
2019-04-30 22:17:48.057318,22:17:50,3259.52962,N,09645.47147,W,1,06,2.26,222.1,M,-25.3,M,,
2019-04-30 22:17:51.057782,22:17:53,3259.52962,N,09645.47136,W,1,06,2.27,221.8,M,-25.3,M,,
2019-04-30 22:17:54.057334,22:17:56,3259.52955,N,09645.47124,W,1,06,2.27,221.4,M,-25.3,M,,
2019-04-30 22:17:57.058627,22:17:59,3259.52957,N,09645.47118,W,1,06,2.27,221.1,M,-25.3,M,,
2019-04-30 22:18:00.058777,22:18:02,3259.52940,N,09645.47112,W,1,06,2.27,220.6,M,-25.3,M,,
2019-04-30 22:18:03.056018,22:18:05,3259.52935,N,09645.47107,W,1,06,2.27,220.2,M,-25.3,M,,
2019-04-30 22:18:06.055476,22:18:08,3259.52925,N,09645.47097,W,1,06,2.27,219.7,M,-25.3,M,,
2019-04-30 22:18:09.058147,22:18:11,3259.52932,N,09645.47091,W,1,06,2.27,219.4,M,-25.3,M,,
2019-04-30 22:18:12.055717,22:18:14,3259.52906,N,09645.47089,W,1,06,2.28,218.8,M,-25.3,M,,
2019-04-30 22:18:15.058612,22:18:17,3259.52885,N,09645.47082,W,1,06,2.28,218.3,M,-25.3,M,,
2019-04-30 22:18:18.054717,22:18:20,3259.52882,N,09645.47085,W,1,06,2.28,218.3,M,-25.3,M,,
2019-04-30 22:18:20.056233,22:18:22,3259.52847,N,09645.47080,W,1,06,2.28,217.8,M,-25.3,M,,
2019-04-30 22:18:23.056795,22:18:25,3259.52841,N,09645.47090,W,1,06,2.28,218.1,M,-25.3,M,,
2019-04-30 22:18:26.056365,22:18:28,3259.52828,N,09645.47096,W,1,06,2.28,218.2,M,-25.3,M,,
2019-04-30 22:18:29.057353,22:18:31,3259.52827,N,09645.47108,W,1,06,2.29,218.5,M,-25.3,M,,
